EntityID,AddressLine,Locality,AdminDistrict,PostalCode,CountryRegion,Phone,Manager,Latitude,Longitude
1334521,600 16TH ST,San Francisco,CA,310,United States,,,37.76746629,-122.3908603
1334518,2045 EVANS AVE,San Francisco,CA,58,United States,,,37.74777209,-122.3970317
1334514,1580 BURKE AVE,San Francisco,CA,58,United States,,,37.74475219,-122.3856792
1334513,Assessors Block 4315/Lot03008,San Francisco,CA,,United States,,,0,0
1334500,Assessors Block 4046/Lot001,San Francisco,CA,310,United States,,,37.76200846,-122.3854418
1332520,560 MISSION ST,San Francisco,CA,28855,United States,,,37.78886472,-122.3993594
1334497,Assessors Block 4058/Lot010,San Francisco,CA,28856,United States,,,37.76118299,-122.3881187
1334519,950 HARRISON ST,San Francisco,CA,28856,United States,,,37.77838862,-122.4031918
1334528,151 MENDELL ST,San Francisco,CA,58,United States,,,37.74282023,-122.3828474
1334495,Assessors Block 7295/Lot022,San Francisco,CA,64,United States,,,37.73000368,-122.4781863
1334510,2101 03RD ST,San Francisco,CA,,United States,,,0,0
1334503,66 POTRERO AVE,San Francisco,CA,28853,United States,,,37.76854329,-122.4084929
1334508,Assessors Block 4281a/Lot012A,San Francisco,CA,28856,United States,,,37.75076077,-122.4015403
1334516,146 CONNECTICUT ST,San Francisco,CA,28856,United States,,,37.7644473,-122.3979874
1334498,Assessors Block 4227/Lot012,San Francisco,CA,28856,United States,,,37.75315511,-122.3911742
1334501,Assessors Block 5216/Lot030,San Francisco,CA,58,United States,,,37.74540643,-122.3900812
1213203,75 WATERLOO ST,San Francisco,CA,58,United States,,,37.73864994,-122.4061861
1334517,1801 EVANS AVE,San Francisco,CA,58,United States,,,37.7445912,-122.3930769
1334499,Assessors Block 5369/Lot003,San Francisco,CA,58,United States,,,37.73811777,-122.4044185
1334529,555 MISSOURI ST,San Francisco,CA,28856,United States,,,37.75930377,-122.3959022
1334520,3040 HARRISON ST,San Francisco,CA,28859,United States,,,37.74884806,-122.412619
1334507,Assessors Block 8732/Lot001,San Francisco,CA,310,United States,,,37.77070298,-122.3907904
1334526,3335 17TH ST,San Francisco,CA,28859,United States,,,37.76315639,-122.4203222
1334527,888 MARIN ST,San Francisco,CA,58,United States,,,37.74945833,-122.3850813
1334523,Assessors Block 3941/Lot001,San Francisco,CA,310,United States,,,37.76474132,-122.3871248
1334525,350 KANSAS ST,San Francisco,CA,28853,United States,,,37.76537067,-122.4039078
1334522,Assessors Block 8722/Lot001,San Francisco,CA,310,United States,,,37.76799555,-122.3875494
1416733,1 BUSH ST,San Francisco,CA,28854,United States,,,37.79092151,-122.4001004
1336036,1252 HOWARD ST,San Francisco,CA,28853,United States,,,37.77572548,-122.4126561
1336023,555 09TH ST,San Francisco,CA,28853,United States,,,37.7710278,-122.4073142
1336039,1023 MISSION ST,San Francisco,CA,28853,United States,,,37.78021594,-122.4090575
1336026,965 FOLSOM ST,San Francisco,CA,28856,United States,,,37.77900127,-122.4044851
1336042,1131 MISSION ST,San Francisco,CA,28853,United States,,,37.77838536,-122.4113825
1336034,575 HARRISON ST,San Francisco,CA,28856,United States,,,37.78442049,-122.3943806
1336027,1069 FOLSOM ST,San Francisco,CA,28853,United States,,,37.77704788,-122.4070351
1336021,19 CLEMENTINA ST,San Francisco,CA,28855,United States,,,37.78715774,-122.3954476
1336037,621 MINNA ST,San Francisco,CA,28853,United States,,,37.77823284,-122.410823
1336031,855 GEARY ST,San Francisco,CA,28858,United States,,,37.78591569,-122.4173023
1336029,300 FRANKLIN ST,San Francisco,CA,28852,United States,,,37.77765784,-122.4206523
1336030,301 VAN NESS AVE,San Francisco,CA,28852,United States,,,37.77905544,-122.4209352
1336019,370 07TH ST,San Francisco,CA,28853,United States,,,37.77571286,-122.4069504
1336032,65 GRACE ST,San Francisco,CA,28853,United States,,,37.77494453,-122.4144367
1336040,1045 MISSION ST,San Francisco,CA,28853,United States,,,37.77974457,-122.4096483
